class,word
1863,Sharp
1864,Blood
1865,Bird
1866,Aadhar Card
1867,Vomit
1868,20/Twenty
1869,Matchbox
1870,Punjabi
1871,Foolish
1872,Shelf
1873,Coal
1874,Game
1875,East (Side)
1876,Olympics
1877,Visible
1878,Job
1879,Holi
1880,In
1881,Encourage
1882,Wash
1883,Introduce
1884,Force
1885,Patient
1886,Bus Conductor
1887,Rat
1888,"1,001/Thousand & One"
1889,Short/Young
1890,Peak
1891,Dangerous
1892,Toothbrush
1893,Hindi
1894,Opaque
1895,Comb
1896,Home/House
1897,Hat/Cap
1898,Girl
1899,Butter
1900,Compare
1901,Advise
1902,Herself
1903,Sri Lanka
1904,Toast
1905,Scanner
1906,Yellow
1907,Which
1908,Fax
1909,F
1910,Bank
1911,"5,000,000/Five Million"
1912,Easy
1913,Amount
1914,Principal
1915,Tempt [VEB]
1916,Decide
1917,Orange (Fruit)
1918,Gita
1919,Various
1920,Week
1921,Parliament
1922,Smooth
1923,Cholera
1924,Dig
1925,Jacket
1926,Rice (Dish)
1927,Wool
1928,Satisfied
1929,Noon
1930,Instigate [VEB]
1931,Rifle
1932,Careful
1933,Diameter
1934,Handicapped
1935,Photograph
1936,T
1937,Flat
1938,Bulb
1939,Whose
1940,Boss
1941,Calculator
1942,200/Two Hundred
1943,Dinner
1944,Waterproof/Water Resistant
1945,Jowar (Sorghum)
1946,Video Call
1947,Temple
1948,France
1949,Monday
1950,Sarada Ma
1951,Footpath
1952,21/Twenty One
1953,Rich
1954,Escape
1955,Train Ticket
1956,Nature
1957,Bug
1958,Sink
1959,Actress
1960,Observe/Watch
1961,3/Three
1962,Bhopal
1963,B.P.
1964,Member Of Parliament/M.P.
1965,Conjunction
1966,Correct
1967,Light (Weight)
1968,Neighbor
1969,Lion
1970,Speakers
1971,Aeroplane
1972,Nest
1973,Snow
1974,Get
1975,Cup
1976,Cover
1977,Roll
1978,Sweet
1979,Ghost
1980,Sculpture
1981,Grandson
1982,Supply
1983,Sea
1984,Stale
1985,Steal [VEB]
1986,Bright (Quick-Witted)
1987,Regret
1988,Station
1989,College
1990,Magnet
1991,Ladakh
1992,Stubborn
1993,Salary
1994,Urgent
1995,Boy
1996,Sad
1997,Papaya
1998,Sift [VEB]
1999,Engine
2000,Vegetarian
2001,Power
