keywords,sentence
lunch restaurant walk,A woman is walking beside a subway restaurant during her lunch.
feed giraffe hay,A giraffe feeding on hay in it's enclosure
feed giraffe hay,Giraffes feeding on hay from elevated feed holder.
motorcycle trail woode,Two motorcycles off roading on a wooded trail.
motorcycle trail woode,Three motorcycles parked at the edge of a wooded trail.
airplane propeller wing,The airplane has two propeller on each wing.
airplane propeller wing,A white airplane with a single propeller and double stacked wings.
sit track vehicle,A train maintenance vehicle sits on train tracks.
sit track vehicle,A train track sits with various vehicles and containers nearby.
breakfast coffee pancake,A partially eaten pancake and grits breakfast with coffee.
breakfast coffee pancake,"A breakfast of pancakes, coffee, sugar free syrup, and grits."
field sheep shorn,A sheep in the field being shorn by a man.
beach chair towel,"Umbrellas, towels, chairs and people at the beach."
beach chair towel,Two beach chairs with towels draped over on a beach.
chicken corn plate,"A dinner plate with chicken, broccoli and corn."
chicken corn plate,"A plate of chicken, corn, carrots, potatoes, and tomatoes."
box horse wagon,Two horses pulling a wagon with many boxes.
box horse wagon,Men loading a box onto a wagon hooked up to horses.
plane pull terminal,A passenger plane that is pulled into a terminal.
plane pull terminal,A blue and white plane pulls away from a terminal.
lead plane team,footballer leads the team on to the plane
lead plane team,the football team are led onto their plane by footballer
carve relief ruin,a relief carving from the ruins
carve relief ruin,finely carved reliefs and corridors from the ruins of the temple
country light space,country from space with visible city lights .
country light space,country during evening light from orbit in space .
country light space,greenish light from an aurora as seen from space over country
church explode firework,fireworks exploding over a church .
eat festival street,eat the street is festival in a city
eat festival street,people eating out on the streets during festival
celebrate cover holiday,youths covered with coloured powder after celebrating holiday
politician poster president,poster promoting politician for nomination for president .
classroom pupil study,attractive young pupils studying in the classroom
classroom pupil study,teacher helping a male pupil studying at a desk in classroom
bluebell spring wood,woods with beautiful bluebells in the spring .
bluebell spring wood,little girls exploring a wood full of wild bluebells in spring
continent island map,map of continent and islands .
continent island map,red arrow pointing island on the map of continent
block home sit,this home sits on the block .
block home sit,new homes sit on the same block with dilapidated ones
eat salmon specie,biological species eating a salmon
eat salmon specie,an extreme close up of biological species eating a salmon from atop tourist attraction
organisation school student,the school has had students accepted into organisation
organisation school student,students at one of the schools operated by organisation .
hospital paramedic rush,paramedics rush the girl to hospital .
hospital paramedic rush,paramedics rushing a patient into the hospital
hospital paramedic rush,the toddler was rushed to hospital after paramedics were called to an address .
agency block road,road was blocked off by government agency .
agency block road,government agency blocking a road at the protests
agency block road,smoke billows from the building as government agency block the road .
bring recipe table,author brings farm fresh recipes to the table
bring recipe table,bring grilled cheese to the breakfast table with this recipe .
cottage nestle wood,our cottage nestled in the woods
cottage nestle wood,old stone cottage with moss covered roof nestled in woods a lady in us state
city guard soldier,a soldier guards a city
city guard soldier,soldiers guard the entrance of a military base in the small city .
foal mare paddock,mares with their foals on a paddock
foal mare paddock,young girls with a mare and her foal in a paddock
foal mare paddock,mares with young foals gallop across an open paddock .
city roll tank,tanks roll through the burning city .
city roll tank,tanks were seen rolling into the city
city roll tank,tanks roll through russian federal city after the abortive coup that marked the end
country send troop,country is sending an additional troops .
country send troop,a mp says the resolution authorised the country to send troops
country send troop,country is considering sending more troops following a request .
bell contain tower,the tower currently contains bells
bell contain tower,the belfry is a medieval bell tower containing bells .
bell contain tower,a cupola or turret containing bell on the tower of the parish church
distance extend road,road extending into the distance over rolling hills
distance extend road,cyclist on an empty road which extends in to the distance
boil fire kettle,kettle boiling on a camp fire
boil fire kettle,a hiker with firewood and an ax approaches the fire on which kettle is boiling
bridge cover drive,drive through a covered bridge
bridge cover drive,drive through famous covered bridges and see the fall foliage .
motion station train,blue subway train in motion at the station
motion station train,a subway train leaves the station in a blur of motion
creek cross hiker,a female hiker crossing a creek
creek cross hiker,hikers cross a small creek in an alpine meadow .
daughter flower smell,a man stops to smell flowers with his daughter .
daughter flower smell,mother and daughter smelling flowers on a terrace .
foliage pond surround,aerial footage of autumn foliage surrounding a pond
foliage pond surround,a pond in the rear garden is surrounded by lush foliage
good load port,men loading goods in the port
good load port,body style loaded with goods at the port
good load port,a freight train loaded with dangerous goods derailed on the way to the port
city connect part,part of the railway connecting a city
city connect part,cantilever bridge which connects parts of the city
city connect part,road is km long road which connects the cities in the northernmost part
buy city property,these are the cities to buy a property
buy city property,tourist attraction as it appeared after the city bought the property .
forest pass trail,trail passes through the spring forest
forest pass trail,the trail passed through mostly pine forests with little to see on the way .
boat sea wave,people waving from the boat in the sea
boat sea wave,fishing boat in the sea with storm clouds and wave
bench corner garden,an old neglected wooden bench in a corner of the garden
bench corner garden,rustic wooden bench on grass beneath large tree in shady corner of the garden
car image sale,image of used car for sale for vehicle
car image sale,illustrative image of cars for sale at a dealership
car image sale,image of a car that is similar to interest for sale
anthem player raise,players raise their fists during the national anthem
anthem player raise,american football player was part of a group of player who raised a fist during the anthem
eye watch widen,Someone's eyes widen as he watches.
eye watch widen,Someone's eyes widen as he watches people and deck chairs smashed with each other.
build clock structure,a structure with a clock built inside of it
build clock structure,A clock is built between large pipes on a structure.
cake celebrate year,The cake is celebrating sixty years of John.
cake celebrate year,"A homemade cake celebrating ""50"" years of something special."
bathroom top wall,A bathroom filled with marble counter tops and walls.
bathroom top wall,"Modern bathroom with black walls, grey tile, white toilet and white counter top."
eat grass standing,Two zebra's standing next to one another eating grass.
eat grass standing,One zebra standing and one eating grass on the savannah.
cross day train,A commuter train crosses an overpass on a cloudy day.
cross day train,Small tourist train on roadway at crossing  on sunny day.
grass ostrich tree,An ostrich and giraffes among the trees and grass.
grass ostrich tree,An ostrich and a giraffe in a grass and tree enclosure.
grass ostrich tree,A zebra is eating grass among several trees and some ostriches.
cover pizza salad,The small pizza and salad are covered with salad dressing.
cover pizza salad,Small sized pizza covered in salad and many other elements.
cover pizza salad,A pizza covered with pepperoni and cheese placed beside a salad
bathroom tub walk,Walk in glass shower and luxury tub in bathroom.
bathroom tub walk,A large bathroom with a soaking tub and walk in shower
airport runway taxis,A silver four propeller air plane taxis down a runway at an airport.
banknote coin purse,black leather purse full of coins and banknotes .
banknote coin purse,dollar banknotes throw into a small purse for coins
banknote coin purse,many francs gold coins poured out of a small purse onto francs banknotes
heart jewel shape,jewel in the shape of heart .
heart jewel shape,biological genus and golden jewel in the shape of heart with arrow
dining residence room,dining room of the residence
dining residence room,dining room in a private residence typical of those rented to tourists
rip root tree,a tree was ripped from its roots yesterday .
beat doctor heart,doctor checking the heart beat of a child
beat doctor heart,smiling doctor with hearts beat diagram on a tablet computer
airport move passenger,passengers on a moving walkway at an airport
airport move passenger,unidentified passengers in transit moving through a modern airport
airport move passenger,a lot of passengers go by passage and moving walkway inside building of airport
beach fisherman push,fishermen seen pushing a trailer on the beach
beach fisherman push,fishermen push their traditional wooden boat from the beach into the sea
ribbon tree wrap,pink flying ribbon wrapped around a tree
ribbon tree wrap,a white ribbon wrapped around the limb of an oak tree .
ribbon tree wrap,i wrapped these around the tree almost like beads or ribbons .
decorate love table,love how the table is decorated .
decorate love table,we love how magazine have used to decorate a festive table in their december issue .
city rain thunderstorm,heavy rain with thunderstorm in the city .
city rain thunderstorm,strong thunderstorm with the rain over a city through window glass
city rain thunderstorm,pleasant weather prevailed after light rain and thunderstorm hit the city .
enchant forest tree,enchanted tree in the middle of the blue forest
enchant forest tree,enchanted spring forest with mist moving between the beech trees .
architecture building part,architecture of a part showing more modern buildings .
architecture building part,part of the building which is associated with sikh architecture
architecture building part,part of a study in architecture done in buildings against the sky
cupcake theme wedding,cupcakes for a themed wedding
cupcake theme wedding,these cupcakes would be cute for a themed wedding if you added a little shamrock
astronaut image space,composite image of an astronaut in space
astronaut image space,close up image of a suited astronaut in space .
ray sky sunshine,a ray of sunshine penetrates the gloomy skies
pond reflect sunrise,greek revival structure and reflecting pond at sunrise
city look model,see a miniature model as the city is expected to look
city look model,a model showing what a city will look like upon completion .
church flower garland,garlands of flowers outside the entrance to a church
church flower garland,garland of flowers hanging from a wooden church arched gateway
gift hang sock,christmas socks with gifts hanging on the wall
gift hang sock,above the fireplace hangs a burning socks for gifts for western christian holiday
give lemon life,if life gives you lemons .
give lemon life,when life gives you lemons grab tequila and salt .
dress layer sweater,sweater layered over a dress
dress layer sweater,i think if i got a neutral maxi dress then i could layer it with sweaters or blazers
flow lapse mountain,time lapse of rain clouds flow over the mountain
flower lay tomb,laying flowers at the tomb of politician .
flower lay tomb,the tomb was closed and all flowers were laid in front of it
dolphin family swim,a family of dolphins swimming together .
dolphin family swim,families can swim with dolphins in a private cove at resort .
mosque pilgrim pray,pilgrims praying at the mosque
mosque pilgrim pray,pilgrims pray around islamic place of worship inside the grand mosque for the annual pilgrimage .
launch rocket spacecraft,spacecraft launches atop a delta rocket .
launch rocket spacecraft,the spacecraft launches on a rocket propelling astronaut toward orbit .
aircraft airport flight,aircraft in flight during its maiden test at the airport
aircraft airport flight,an aircraft flies over airport on its final flight over tourist attraction
court front game,A group of girls play a game on a court in front of spectators.
court front game,people on the court playing a game against each other in front of others
fly fog sunrise,flying above the fog during sunrise
fly fog sunrise,aerial drone shot flying low over pine forests into a thick fog during sunrise
minute read timer,Its timer reads four minutes and five seconds.
minute read timer,The timer on his lcd screen reads nearly two hours and two minutes.
feather lure tie,A man is tying feathers to a fishing lure.
feather lure tie,Peacock feathers are tied onto a fly fishing lure in close-up.
puppet room talk,A man in a room is using a puppet while talking.
puppet room talk,Video shows puppet with glasses talking with other people in the room.
clock keyboard monitor,Two alarm clocks side by side under monitors by a keyboard.
clock keyboard monitor,The keyboard underneath the monitors has two clocks behind it.
balcony giraffe look,A giraffe is looked at by many people on a balcony.
balcony giraffe look,a woman pets a giraffe as other people look over the balcony
pizza salad sauce,"a plate with some pizza, salad, and some sauce on it"
pizza salad sauce,"Two pizzas with tomato sauce, salad, and strips of bacon."
plunger stall toilet,"A toilet, plunger and rug in a tiled bathroom stall."
plunger stall toilet,"A small stall with large tiles, a toilet and two plungers"
bathroom floor miss,A bathroom that has part of the floor missing.
bathroom floor miss,A small bathroom with a floor whose tiles are missing.
bricke building hydrant,A fire hydrant across from a red bricked building.
bricke building hydrant,The yellow and blue fire hydrant is on the pavement outside a bricked building.
soldier stain window,memorial stained glass windows of a soldier and nurse
soldier stain window,stained glass window in the room depicting a soldier in the centre
soldier stain window,stained glass window featuring a man on a horse surrounded by soldiers .
harbor ship yacht,container ships at wharf and yachts in a sheltered harbor by a city .
city leave window,flight over republic outside the plane window leaving a city .
image smile student,composite image of smiling students all geared up for college
image smile student,image of young female student smiling at the camera in the cafeteria .
campus student way,students make their way through the campus .
campus student way,a scooter is one of the many ways students can get around campus .
pool reflect statue,statues reflecting in a pool
pool reflect statue,a large statue next to a reflecting pool in an urban park on a sunny summer day .
hospital room surgeon,team of surgeons in operating room at a hospital .
canyon side wall,narrow canyon with vertical walls on both sides .
canyon side wall,the red walls on both sides of the canyon come close together
architecture city know,a city is known worldwide for its architecture .
garden live wall,living walls in thevertical garden
garden live wall,this is an example of a contemporary courtyard garden with a living wall .
confetti fall sky,falling confetti against a summer blue sky .
confetti fall sky,an image of falling confetti against a blue sky overlaid with the text
confetti fall sky,confetti falls from the sky during new year celebrations in the borough .
chair love pattern,love the pattern on this chair .
chair love pattern,you are going to love this mid century modern rocking chair with a fun black and white pattern .
beach building city,building is named after the city famous for its beaches
beach building city,deserted and ruined building or hut on a beach in a city
attraction locate statue,statue located at the parking lot above tourist attraction .
attraction locate statue,tourist attraction is located on a walkway behind the colossal statue of liberty
home student study,female student having a productive day at studying at home
home student study,students studying and learning at home with a laptop and notes
home student study,student studying and teaching to her classmate in the living room at home
daughter leader politician,organization leader is the elder daughter of politicians
car day employee,employees cover a car during the media day .
car day employee,at annual company retreat these employees rented luxury sports cars for the day .
conflict end tank,replica of the tank that ended military conflict .
conflict end tank,an abandoned tank after military conflict ends a city
conflict end tank,the tanks are a series of main battle tank introduced just as military conflict ended .
continue injury player,football player continues his return from injury .
continue injury player,award winner is one of the players who continues to recover from injuries .
cookie cup hang,cookies hanging on the edge of handmade cups
cookie cup hang,cookies that hang on a cup are sugar cookies decorated with royal icing .
field moon rise,moon rising above a wheat field
field moon rise,moon rising behind a winter leafless common oak tree on a field dark nordic january evening .
address conference reporter,politician addresses reporters during a press conference .
address conference reporter,image of american football player addressing reporters at a news conference via satellite .
pattern repeat texture,stylish texture with a repeating pattern .
pattern repeat texture,elf christmas pattern ... seamless repeated texture made of a lot of elf
column rise smoke,a large column of smoke rising .
column rise smoke,golden fireworks with pink and yellow highlights amidst columns of smoke rising like rockets towards a bright full
block city fly,flying above a city with apartment blocks and a big avenue
block city fly,the helicopter flies over a residential block in a city on cloudy weather
airplane fly globe,airplane flying around the globe
airplane fly globe,route of commercial airplane flying on the globe .
compete competition snowboarder,Snowboarder competing in jump competition.
compete competition snowboarder,The snowboarder is competing in a snowboarding competition.
look player warm,football player looks on as the squad warm up before a training session
manager match stadium,football player the manager during the match at stadium .
manager match stadium,a dejected manager reacts to play during the match at stadium .
gorge grow tree,trees growing from the gorge
gorge grow tree,a large rock in the mountains between the gorge from which a tree grows
embrace forest tree,cheerful young woman embracing a tree in the forest
embrace forest tree,foxes embrace in a secluded rich forests with just a hint of sunlight peaking through the trees .
firefighter flame home,firefighters knock down flames as they advance on homes .
force patrol village,armed force and army patrol in the village in province
force patrol village,country mostly men and boys greet armed force on patrol in a village .
force patrol village,a girl watches security forces pass through her village during a patrol .
bookshelf need room,cool bookshelves but you need a lot of room for this .
bookshelf need room,i need bookshelves in the dining room ... like yesterday .
jean love pair,i love a good pair of jeans
jean love pair,nothing shoutsblue like a great pair of blue jeans that have been loved since college .
event politician welcome,golden elephants welcomed politician to the event
event politician welcome,politician welcomed politician to the stump monday as the duo partook in their first joint campaign event .
author place worship,main image of author within buddhist place of worship
author place worship,author draped with an orange sash in an arcaded niche at buddhist place of worship
author place worship,religious leader with author outside roman catholic place of worship during a visit
forest moss root,moss on the root of a tree in the forest
forest moss root,old stump in the summer forest covered with moss with large roots
bridge lake run,A train running across a bridge over a lake.
bridge lake run,A lake with several vehicles on it and a bridge that runs over it.
flower text wreath,wreath of blue flowers in vintage style for text .
flower text wreath,bright wreath of different flowers and beads with frame for your text .
flower text wreath,watercolor colorful circular floral wreaths with summer flowers and central white copy space for your text .
add garden splash,brighten up the garden by adding a splash of color .
number player return,work has seen a number of top players return to form
number player return,football player has also returned as a city snap up a number of former players
feature lake waterhole,museum featuring a lake or waterhole
feature lake waterhole,lake featuring a lake or waterhole as well as an individual male
market sale sardine,sardines for sale in the market
market sale sardine,fresh sardines on sale at a market
market sale sardine,group of sardines on a colorful bench for sale in fresh seafood market .
gold leprechaun pot,leprechaun with a pot of gold
gold leprechaun pot,leprechaun with a pot of gold and leaf clover and luck .
dress style summer,how to style a maxi dress in summer
dress style summer,how i style a white midi dress for summer
perform ritual singe,A group of people are singing and performing a religious ritual.
perform ritual singe,fat men carrying small children while singing and performing some king of rituals
drain oil talk,Oil is being drained out of a vehicle while two men are talking.
drain oil talk,Man talking about the engine to a bike while draining oil out of it.
instrument note read,Two people read musical notes as they each play a musical instrument.
instrument note read,A young woman is playing her instrument and reading her notes from a large tv screen.
city head valley,the valley heading up to a city and the ancient ruins of a city
city head valley,the going away shot is more open as the train heads down the valley towards a city
portrait push wheelchair,portrait of elderly man pushing smiling partner in wheelchair through the park
close tree zebra,a close up of a zebra next to a tree
close tree zebra,a close up of two zebras near one another near trees
day sheep sky,last colour of the day lights up the sky over sheep and wooded land .
day sheep sky,sheep and lambs grazing in a field under blue skies on a bright spring day
library portrait study,portrait of a students studying in library
library portrait study,portrait of student studying together while listening their friend in the library
cable disconnect motherboard,disconnect the cable from the motherboard .
cable disconnect motherboard,disconnect the black and white single cables from the motherboard .
event guest politician,politician was the vip guest at a recent event
event guest politician,politician speaks to guests during a campaign event .
life love meet,i met the love of my life at the exact wrong time .
life love meet,labor is the only blind date where you know you will meet the love of your life .
bridge creek walk,man walking on a bridge over a creek .
bridge creek walk,young woman walks across the bridge over creek in the forest .
court image tennis,an image of man playing tennis on the tennis court
court image tennis,Double image of woman playing tennis on tennis court with observer chair
bathroom stool toilet,A toilet is in a bathroom near a stool.
bathroom stool toilet,A very filthy bathroom with a broken stool and a toilet.
arrive carpet politician,politician arrives with his wife on the red carpet .
arrive carpet politician,politician and singer arriving on the red carpet for awards held
mock poster wall,mock up blank poster on the wall of bedroom .
mock poster wall,mock up poster and christmas tree on a dresser with blue wall
match player possession,rugby player with possession during the match .
match player possession,football players of battle for possession during the match .
branch hang peach,peaches hanging on a branch
branch hang peach,ripe peaches hanging off a branch in an orchard
branch hang peach,green peaches hanging on the branch with green leaves in a garden
coast sky sunrise,a sunrise with beautiful skies on the west coast
coast sky sunrise,the small fishing town on the coast just before sunrise whilst the sky is still dark
exchange follow glance,Someone exchanges a glance with someone and follows her.
exchange follow glance,"People exchange glances, then head inside, followed by people."
grenade pin pull,Someone pulls the pin from his grenade.
grenade pin pull,A mercenary pulls the pin from a smoke grenade and tosses it.
eye meet smile,"Someone smiles, meeting his eyes."
eye meet smile,Her eyes meet someone's and they smile at each other warmly.
drink sip stare,They sip their drinks and stare straight ahead.
drink sip stare,Someone stares at someone as she slowly sips her drink.
find look syringe,Someone looks for the syringe but can not find it.
find look syringe,"Looking up, he finds another pot with glasses, tan bottom and a syringe."
bike frame move,The bike moves to the cycling frame.
bike frame move,A man is seen moving in and out of frame assembling a bike.
gaze shrug smile,"Shrugging a sad smile, she averts her gaze."
gaze shrug smile,Someone shifts his bewildered gaze then shrugs and smiles.
eyebrow nod raise,The older man nods and raises his eyebrows.
blanket shoulder wrap,He wraps the blanket tight around his shoulders.
blanket shoulder wrap,They shove her in and then one wraps a blanket around her shoulders.
hear sound turn,Someone turns as he hears a faint sound.
hear sound turn,"He turns, hearing the faint sound of the radio."
climb hand place,"She places her hands on the railing, then climbs onto its first wrung."
climb hand place,"Then one after the other, places his hand on the surface and starts to climb."
corridor fill pipe,Someone runs down a steamy corridor filled with pipes.
corridor fill pipe,"Meanwhile, the boy jogs up a grimy corridor filled with gears and steaming pipes."
approach car slow,He finally slows down as cameraman approaches a gray car.
clamp nipple put,A guy is opening his robe and putting a clamp on his nipple.
clamp nipple put,A young man lifts up his shirt and someone puts clamps on his nipples.
come ground parachute,A guy in a parachute comes down to the ground and lands hard.
come ground parachute,Two people are coming down from a parachute and land on the ground.
bandage head nurse,2 nurses showing the proper way to bandage someon'es head.
bandage head nurse,A man in a hospital gown is getting his head bandaged by two nurses.
lense microscope rotate,A man rotating the different lenses on a microscope.
lense microscope rotate,A narrator is describing the features of a microscope while someone rotates the lenses.
snow wade water,A man wades through thigh deep water near some snow
snow wade water,Two men wade into rushing waters surrounded by snow.
infant lie time,Two infants lay on a play mat fussing at the same time.
infant lie time,A mother is lying down having bonding time with her infant.
boat lake race,Boats are racing on a lake
boat lake race,Two boats racing one white and one red boat speeding on the lake.
look nurse supply,Nurses in a hospital looking over supplies.
look nurse supply,The nurses are looking at the medical supplies.
husband return wait,A woman is waiting for her husband to return with their child.
husband return wait,"A group of women are waiting for their husbands to return home, they are quite late."
shirt team teen,A teen in a white shirt directs his team.
dog fight steak,two dogs fight over steak
dog fight steak,The dogs are fighting over at steak.
chase sheep sheepdog,Sheepdogs chasing sheep in the pasture.
chase sheep sheepdog,a black sheepdog is chasing a gray sheep around a pen.
board plane time,Two children board a plane for the first time.
board plane time,"An old man happily boards his plane, which is on time and not overcrowded."
player poetry read,a drunk bong player reads poetry
player poetry read,A man is bothering some tuba players by reading his silly poetry.
pedestrian run walk,They are running into pedestrians walking.
pedestrian run walk,A pedestrian runs through a don't walk warning.
elevator put shirt,A man puts his shirt on near an elevator.
elevator put shirt,The woman is putting on her shirt near an elevator.
lay smile water,A smiling woman is laying in shallow water.
lay smile water,A little girl smiles as she lays on her side in the water.
compete dog event,Three dogs are competing in the event.
compete dog event,A white dog competing in an agility event.
climber move rock,A climber moves onto a large rock
climber move rock,The mountain climber is moving up the rock.
family look telescope,A family looks through a telescope.
family look telescope,The family is going to look through a telescope.
finish project school,A boy finishes a project for school.
finish project school,The boys are skipping school to finish their art project.
carnival prize win,A girl holds a prize won at a carnival.
carnival prize win,Two men at a carnival have won prizes for their children.
finish motorcyclist race,The motorcyclists didn't finish the race.
finish motorcyclist race,Motorcyclists after finishing a race get off their bikes.
bike maintenance perform,A boy is performing maintenance on his bike.
bike maintenance perform,Three bicyclists are performing maintenance on their bikes.
hair hit pinata,A man with no hair hits a pinata.
hair hit pinata,The woman with red hair is hitting the pinata.
protest protester war,Protesters protest against poverty and war.
protest protester war,The protesters are protesting the war in Iran.
museum tour tourist,A group of tourists tour the museum.
museum tour tourist,Tourists touring a museum with Roman art.
family grill steak,The family will grill steaks.
family grill steak,A boy grills some t-bone steaks and vegetables for his family.
climb monkey tube,The monkey climbed the tube.
climb monkey tube,A monkey is climbing on a black tube.
bake cake dog,the dog bakes a cake
bake cake dog,Two dogs are baking cakes.
friend gift open,Two friends open gifts alone.
friend gift open,A woman opening a gift around her friends.
cast spell witch,A witch casts a spell.
cast spell witch,Young witches learn how to cast spells.
look painting tattoo,Girl with tattoos looking a painting.
look painting tattoo,A girl looks at the painting that inspired her tattoos.
balance beam place,A construction worker balances high up as he guides beams into place.
balance beam place,Construction workers balancing themselves on a beam are at their place of employment
push torch wheelchair,A man in a wheelchair is pushed along while he lifts a torch.
push torch wheelchair,"A man lights a torch, while another guy pushes his wheelchair for him."
bathroom tile towel,A bathroom is decorated with white tiles and white towels.
hang tassel umbrella,Tassels and bells hang from a red umbrella.
hang tassel umbrella,The pink umbrella has tassels hanging on the edges.
field tree zebras,Giraffes and zebras graze in a field with trees.
field tree zebras,A pair of zebras graze under a tree at the edge of a grassy field.
donut grab hand,"A hand grabbing onto a sprinkled, chocolate donut."
donut grab hand,Assorted flavored donuts being grabbed by multiple hands.
clock light side,A lighted clock on the side of a ship.
clock light side,A clock with two sides lit up in the darkness.
feed pen zebra,A zebra feeding on grass in a pen.
feed pen zebra,A pair of zebras feeding out of a bin in their pen.
entree plate vegetable,A plate of vegetables and an entree.
entree plate vegetable,Meat entree with sauce and vegetables on plate.
power steam train,There is a small blue steam powered train
power steam train,A steam powered train with steam coming out of it.
fly formation pilot,A formation of blue angel navy pilots flying in formation.
chair dog lounge,A dog is lounging on a black modern chair.
chair dog lounge,A dog lounging comfortably in an arm chair
dish pasta plate,A shell pasta and broccoli dish on a green plate.
dish pasta plate,"A plate holds a good size portion of a cooked, mixed dish that includes broccoli and pasta."
bathroom fill item,A bathroom that is filled with bathroom accessories and items.
bathroom fill item,some shelves filled with a bunch of different items in the bathroom
computer speaker surround,a computer lit up with speakers surrounding it
computer speaker surround,A desktop computer surrounded by two speakers and a keyboard.
clock statue surround,The huge stone clock is surrounded by statues.
clock statue surround,Elaborate architecture and statues surround a large clock
counter drink pizza,A lunch counter that serves pizza and drinks.
counter drink pizza,Two pizzas on plates with drinks at a counter.
eat pancake toast,Girls eating french toast and pancakes.
eat pancake toast,A dark haired girl eating a yummy stack of french toast and pancakes.
airport bag travel,A blue-green traveling bag in a lonely airport.
airport bag travel,so many travelling bags at the airport with their names
field pair travel,A pair of giraffes traveling on a grassy field.
field pair travel,Pair of cross country skiers on well traveled snow field near buildings.
cover eat hotdog,A woman eating a hotdog covered in toppings.
cover eat hotdog,Man about to eat a large hotdog covered in condiments
banana blender table,a number of bananas in a blender on a table
banana blender table,"Two kids play next to a table with a blender, eggs and bananas"
catcher coach pitcher,A coach speaks to a pitcher and catcher.
catcher coach pitcher,the pitcher and catcher having a time out with the coach
awning elephant stand,An elephant at a zoo standing under an awning
awning elephant stand,The large elephant is standing underneath the awning.
come locomotive track,A steaming locomotive coming down the tracks quickly
come locomotive track,An orange and black locomotive is coming down the track.
cattle trough wait,A herd of cattle wait to drink at the trough.
cattle trough wait,Cattle are gathered around a food trough waiting for their next meal.
bite donut plate,There is a bite in the donut on the plate.
bite donut plate,A three tiered plate with small bite sized donuts on it.
bean bread piece,"A piece of bread with beans, garnish and lettuce."
bean bread piece,Foot long hotdogs on a piece of bread smothered in baked beans and cheese
exhibit zebra zoo,Some giraffes and zebras in an exhibit at zoo
exhibit zebra zoo,A zebra stands around in his exhibit at a zoo.
hydrant paint rust,The old fire hydrant with chipped paint has rust on it.
hydrant paint rust,An old fire hydrant with several colors of paint and rust.
bridge engine track,People in a train engine on tracks on a bridge.
bridge engine track,Black steam engine pulling under bridge on track.
gazelle plain zebra,Zebras grazing alongside gazelles on the wild plains.
fry platter serve,Lunch is served with a huge platter of cheese fries.
hydrant mulch surround,A close up of a green fire hydrant surrounded by mulch.
floor include item,many items on a floor including pens nooks cables wires
floor include item,A wooden floor with various items including scissors and cords.
bar chair room,A blue bar and chair in a bright room.
bar chair room,"Modern living room with chairs, couches and a bar."
box coffee donut,A box of donuts and a cup of coffee.
box coffee donut,A box filled with lots of donuts next to coffee.
desk poster room,A desk in a room has a poster by it.
bunch sit stair,a bunch of stairs sit over a train
bunch sit stair,A bunch of teddy bears are sitting on the stairs.
gnar shred snowboarder,a snowboarder shredding the gnar at a rail jam
gnar shred snowboarder,A snowboarder is getting ready to shred the gnar.
booth restaurant seat,Smiling girl and woman seated in booth at restaurant.
booth restaurant seat,Various people seated at booths inside of a restaurant.
cookie plate serve,Coffee and cookies served on a blue plate.
building grass graze,A horse is grazing near a building in the grass.
building grass graze,Pair of sheep grazing on grass outside of building.
pizza topping toss,"A large, hand-tossed pizza with a variety of toppings."
pizza topping toss,Thick hand tossed gourmet style pizza with cheese and other toppings
junction track train,A train track junction with a train on one of the tracks.
junction track train,"The train is traveling form the city, and has arrived at the junction of several tracks."
bookshelf cat lie,A sleeping cat lies on top of a bookshelf.
bathroom take wall,The bathtub takes up one wall of the small bathroom.
building say top,The corner of the top of a building says Arbour Place.
building say top,a building with a clock built in near the top saying it is 3 pm
bathroom lot shelf,The bathroom has a lot of stuff on the shelves
bathroom lot shelf,A bathroom with lots of toys hanging around a shelf.
image tree umbrella,The image is a potted tree with two umbrellas
image tree umbrella,THERE IS AN IMAGE OF A BLUE AND WHITE UMBRELLA IN THE GREEN TREE
hill sheep slope,Five sheep are eating from the grassy slope of a hill.
direction ski skier,a skier changes direction as he skis downwards
direction ski skier,A large group of skiers are skiing close together in the same direction.
await pull train,A bright green train is pulled up for awaiting customers.
await pull train,A metro train pulling into the station as a small group of people await.
book top toy,"A laptop, Furby toy and books on top of a desk."
book top toy,A bookcase that is fill with book and has toys on the top
mirror vanity wall,A bathroom vanity with a large mirror hanging on the wall
arrange broccoli plate,"A dinner plate is arranged with meat, broccoli and carrots."
image light mirror,THERE IS AN IMAGE OF A LIGHT IN THE  MIRROR
image light mirror,an image of a bathroom mirror with two lights lit up
enclosure ostrich zebra,A zebra and an ostrich wandering an enclosure.
enclosure ostrich zebra,"Giraffes, zebras and ostriches in a large enclosure."
stack train travel,A train traveling past a row of four smoke stacks.
stack train travel,A train pouring out steam through it's smoke stack traveling down railroad tracks.
donut serve tray,A single donut remains on an elegant serving tray.
donut serve tray,THREE TIER SERVING TRAY WITH DIFFERENT KINDS OF DONUTS
plane run runway,A jumbo jet plane running along a runway.
plane run runway,Two planes sitting on runway with engines running.
decorate gold room,A hotel room decorated in rich reds and golds.
decorate gold room,The hotel room is decorated with soft gold and deep rose tones.
bathroom cabinet color,A bathroom decorated in beige colors with wood cabinets.
bathroom cabinet color,Pink counter-tops and a pink cabinet add color to an otherwise white bathroom.
event leave performance,performances at our events will leave you speechless .
event leave performance,pleasure boats leaving the aerobatic performance in heavy seas and poor weather during an event
bang bob hair,red bangs with black hair in a layered bob
bang bob hair,the bob that started my quest for short hair with bangs .
moon space sun,the moon and sun from space
note read student,students reading and making notes
note read student,college students reading their notes together during the break
